LIMIT_BAL,AGE,SEX,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,UTIL_RATIO,PAY_RATIO,AVG_BILL,AVG_PAY,MAX_DELAY,SCORE,DEFAULT,RISK_BAND,SECTOR,REGION,GST_COMPLIANT,GDP_GROWTH,REPO_RATE,UNEMPLOYMENT,EAD
50000,46,1,2,2,-1,-1,-1,-1,0,0,0.0307993840123197,16.911096690460738,6055.666666666667,6076.166666666667,0,445.0,0,Medium Risk,Retail & Trade,North,1,6.5,6.5,7.8,50000
150000,31,1,1,1,-1,-1,-2,-2,-2,-1,0.0999993333377777,0.0,4449.0,6949.0,-1,458.0,0,Low Risk,Construction,North,1,6.5,6.5,7.8,150000
50000,25,1,2,2,0,0,0,0,0,0,0.9612807743845124,0.037448508301086,49426.5,1947.0,0,416.0,0,Medium Risk,Services,East,1,6.5,6.5,7.8,50000
290000,25,2,1,2,0,0,0,0,0,0,1.054558432557129,0.0490478183530396,271269.5,13612.833333333334,0,472.0,1,Low Risk,Agri & Allied,Central,1,6.5,6.5,7.8,290000
500000,27,2,2,1,-2,-2,-2,-2,-2,-2,0.0227079545840908,0.8791721708498459,10817.833333333334,13145.666666666666,-2,494.0,0,Low Risk,Manufacturing,Central,1,6.5,6.5,7.8,500000
200000,29,1,1,1,1,2,0,0,0,0,0.997080014599927,0.0,196588.66666666663,65782.5,2,382.0,0,Medium Risk,Manufacturing,East,1,6.5,6.5,7.8,200000
210000,31,1,2,2,0,0,0,0,0,0,0.9030909376622016,0.0263642163763966,110445.33333333331,3566.6666666666665,0,459.0,0,Low Risk,Manufacturing,West,1,6.5,6.5,7.8,210000
260000,35,1,3,2,0,0,0,0,0,0,0.1272225876054322,0.3023065993530638,46522.5,10066.5,0,478.0,0,Low Risk,Services,North,1,6.5,6.5,7.8,260000
450000,42,2,1,1,-1,-1,-1,-1,-1,-1,0.1611485307810427,0.0,14733.5,5044.0,-1,465.0,0,Low Risk,Agri & Allied,North,1,6.5,6.5,7.8,450000
150000,39,1,3,2,0,0,0,0,0,0,0.2801914653902307,0.0499643112062812,22360.666666666668,1483.3333333333333,0,452.0,0,Low Risk,Services,East,1,6.5,6.5,7.8,150000
90000,31,2,1,1,1,2,-1,0,0,-1,0.092421195320052,0.0046880634691669,13595.666666666666,9756.5,2,367.0,0,High Risk,Manufacturing,East,1,6.5,6.5,7.8,90000
220000,54,1,1,1,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,-2,410.0,0,Medium Risk,Construction,West,0,6.5,6.5,7.8,220000
180000,40,1,1,1,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,-2,415.0,1,Medium Risk,Services,Central,1,6.5,6.5,7.8,180000
290000,51,1,1,1,0,0,0,0,0,0,0.7775076637666767,0.0444653382354897,186133.16666666663,7122.0,0,447.0,0,Medium Risk,Manufacturing,South,0,6.5,6.5,7.8,290000
210000,31,2,1,2,0,0,0,0,0,0,0.0522283227222727,0.1823320266204758,15053.0,4002.6666666666665,0,478.0,0,Low Risk,Manufacturing,Central,1,6.5,6.5,7.8,210000
90000,40,2,3,1,1,2,2,2,2,2,0.4496283374629171,0.0494217653454581,42192.16666666666,1823.6666666666667,2,264.0,0,High Risk,Manufacturing,North,0,6.5,6.5,7.8,90000
500000,30,1,1,2,-2,-2,-2,-2,-2,-1,0.0486979026041947,0.3944558521560575,62361.833333333336,59286.0,-1,497.0,0,Low Risk,Retail & Trade,East,1,6.5,6.5,7.8,500000
350000,60,1,1,1,1,-1,-1,-1,-2,-1,0.0,1133.862499999982,1155.3333333333333,1155.3333333333333,1,365.0,1,High Risk,Retail & Trade,West,0,6.5,6.5,7.8,350000
