LIMIT_BAL,AGE,SEX,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,UTIL_RATIO,PAY_RATIO,AVG_BILL,AVG_PAY,MAX_DELAY,SCORE,DEFAULT,RISK_BAND
50000,46,1,2,2,-1,-1,-1,-1,0,0,0.030799384012319752,16.911096690460738,6055.666666666667,6076.166666666667,0,445.0,0,Medium Risk
150000,31,1,1,1,-1,-1,-2,-2,-2,-1,0.09999933333777775,0.0,4449.0,6949.0,-1,458.0,0,Low Risk
50000,25,1,2,2,0,0,0,0,0,0,0.9612807743845123,0.03744850830108601,49426.5,1947.0,0,416.0,0,Medium Risk
290000,25,2,1,2,0,0,0,0,0,0,1.054558432557129,0.04904781835303966,271269.5,13612.833333333334,0,472.0,1,Low Risk
500000,27,2,2,1,-2,-2,-2,-2,-2,-2,0.02270795458409083,0.8791721708498459,10817.833333333334,13145.666666666666,-2,494.0,0,Low Risk
200000,29,1,1,1,1,2,0,0,0,0,0.997080014599927,0.0,196588.66666666666,65782.5,2,382.0,0,Medium Risk
210000,31,1,2,2,0,0,0,0,0,0,0.9030909376622016,0.026364216376396646,110445.33333333333,3566.6666666666665,0,459.0,0,Low Risk
260000,35,1,3,2,0,0,0,0,0,0,0.12722258760543229,0.30230659935306387,46522.5,10066.5,0,478.0,0,Low Risk
450000,42,2,1,1,-1,-1,-1,-1,-1,-1,0.16114853078104271,0.0,14733.5,5044.0,-1,465.0,0,Low Risk
150000,39,1,3,2,0,0,0,0,0,0,0.2801914653902307,0.049964311206281226,22360.666666666668,1483.3333333333333,0,452.0,0,Low Risk
90000,31,2,1,1,1,2,-1,0,0,-1,0.092421195320052,0.0046880634691669676,13595.666666666666,9756.5,2,367.0,0,High Risk
220000,54,1,1,1,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,-2,410.0,0,Medium Risk
180000,40,1,1,1,-2,-2,-2,-2,-2,-2,0.0,0.0,0.0,0.0,-2,415.0,1,Medium Risk
290000,51,1,1,1,0,0,0,0,0,0,0.7775076637666767,0.04446533823548978,186133.16666666666,7122.0,0,447.0,0,Medium Risk
210000,31,2,1,2,0,0,0,0,0,0,0.05222832272227275,0.18233202662047587,15053.0,4002.6666666666665,0,478.0,0,Low Risk
90000,40,2,3,1,1,2,2,2,2,2,0.4496283374629171,0.04942176534545814,42192.166666666664,1823.6666666666667,2,264.0,0,High Risk
500000,30,1,1,2,-2,-2,-2,-2,-2,-1,0.04869790260419479,0.3944558521560575,62361.833333333336,59286.0,-1,497.0,0,Low Risk
350000,60,1,1,1,1,-1,-1,-1,-2,-1,0.0,1133.862499999982,1155.3333333333333,1155.3333333333333,1,365.0,1,High Risk
180000,32,1,1,2,0,0,0,0,0,0,0.8576285687301737,0.048582995951417005,144247.66666666666,5939.5,0,456.0,0,Low Risk
50000,23,1,3,2,0,0,-2,-2,-2,-2,0.0866382672346553,0.0,722.0,0.0,0,415.0,0,Medium Risk
320000,39,2,2,1,0,0,0,0,0,0,0.1197871256652323,0.7826155010043565,50054.0,9116.666666666666,0,478.0,0,Low Risk
410000,63,1,2,1,0,0,0,0,0,0,1.0472950065975448,0.035212497642020245,364696.0,12252.0,0,485.0,1,Low Risk
80000,24,2,1,2,0,0,0,-2,-2,-2,0.3873076586542668,0.461498741367069,12547.5,2383.3333333333335,0,436.0,0,Medium Risk
90000,58,1,2,1,0,0,0,0,0,0,1.041510649881668,0.038404915829226144,69831.16666666667,2874.0,0,440.0,0,Medium Risk
100000,55,2,3,1,-2,-2,-2,-2,-2,-2,0.003899961000389996,0.9974424552429667,390.0,390.0,-2,410.0,1,Medium Risk
70000,34,1,2,1,0,0,0,0,0,-1,0.8548592162969101,0.04361485244477123,38758.166666666664,4551.333333333333,0,446.0,0,Medium Risk
30000,29,2,3,1,-1,-1,-1,0,0,0,0.11629612346255125,4.289111747851003,9761.833333333334,5887.833333333333,0,452.0,0,Low Risk
220000,31,1,1,2,-2,-2,-2,-2,-2,-2,0.02243171621947173,0.7690437601296597,3771.3333333333335,3451.1666666666665,-2,461.0,0,Low Risk
80000,57,1,3,1,2,2,2,2,2,2,0.09288633892076349,0.34983853606027987,9702.0,975.0,2,202.0,1,High Risk
80000,30,1,1,2,0,0,2,2,2,2,0.9567255409307384,0.045858374706036056,49292.333333333336,11973.166666666666,2,373.0,0,High Risk
160000,57,1,2,2,-2,-2,-2,-2,-2,-1,0.0,0.0,99.16666666666667,100.16666666666667,-1,411.0,1,Medium Risk
60000,29,2,3,1,0,0,0,0,0,0,0.9864835586073566,0.03716781267422412,42775.666666666664,1766.6666666666667,0,427.0,0,Medium Risk
50000,32,1,1,2,2,2,2,2,2,2,0.6111677766444671,0.06544502617801047,32797.833333333336,1583.3333333333333,2,199.0,1,High Risk
50000,26,1,2,2,0,0,0,0,0,0,0.9410211795764085,0.03672454466240197,31113.5,1287.5,0,425.0,0,Medium Risk
120000,28,2,2,1,0,0,0,0,0,0,0.8639594670044416,0.03166565390588076,84492.0,3547.1666666666665,0,447.0,0,Medium Risk
240000,30,1,2,1,0,0,0,0,0,0,0.9486418806588306,0.0439352413078234,194857.16666666666,9421.0,0,456.0,0,Low Risk
